2025-06-26 10:16:28,330 INFO [root] [base.py (base_move:110] - 拖动滑块
2025-06-26 10:16:29,608 INFO [root] [base.py (base_move_to_empty_space:118] - 移动到空白处
2025-06-26 10:16:29,608 INFO [root] [base.py (base_find_element:27] - 查找元素('xpath', "//b[text()='攻略']")
2025-06-26 10:16:31,622 INFO [root] [base.py (base_click:46] - 点击('xpath', "//b[text()='攻略']")操作
2025-06-26 10:16:31,622 INFO [root] [base.py (base_find_element:27] - 查找元素('xpath', "//a[@class='link' and @href='//travel.qunar.com/youji/create']")
2025-06-26 10:16:31,709 INFO [root] [base.py (base_click:46] - 点击('xpath', "//a[@class='link' and @href='//travel.qunar.com/youji/create']")操作
2025-06-26 10:16:31,809 INFO [root] [base.py (base_change_window:63] - 切换窗口
2025-06-26 10:16:32,817 INFO [root] [base.py (base_if_exist:122] - 封装判断元素('xpath', '/html/body/div[2]/div/div[2]/a')是否存在
2025-06-26 10:16:32,817 INFO [root] [base.py (base_find_element:27] - 查找元素('xpath', '/html/body/div[2]/div/div[2]/a')
2025-06-26 10:16:32,824 INFO [root] [base.py (base_find_element:27] - 查找元素('xpath', '/html/body/div[2]/div/div[2]/a')
2025-06-26 10:16:33,708 INFO [root] [base.py (base_click:46] - 点击('xpath', '/html/body/div[2]/div/div[2]/a')操作
2025-06-26 10:16:33,708 INFO [root] [base.py (base_find_element:27] - 查找元素('xpath', "//*[@id='b_note_hd']/div[2]/a")
2025-06-26 10:16:33,760 INFO [root] [base.py (base_click:46] - 点击('xpath', "//*[@id='b_note_hd']/div[2]/a")操作
2025-06-26 10:16:33,761 INFO [root] [base.py (base_find_element:27] - 查找元素('xpath', "//input[contains(@class, 'title_input')]")
2025-06-26 10:16:33,796 INFO [root] [base.py (base_input:74] - ('xpath', "//input[contains(@class, 'title_input')]")输入
2025-06-26 10:16:34,797 INFO [root] [base.py (base_find_element:27] - 查找元素('xpath', '/html/body/div[2]/div[2]/div/div[2]/div/div[1]/div[1]/div[2]/div/div[1]/div[2]/div/div/div[2]/div/textarea')
2025-06-26 10:16:34,847 INFO [root] [base.py (base_click:46] - 点击('xpath', '/html/body/div[2]/div[2]/div/div[2]/div/div[1]/div[1]/div[2]/div/div[1]/div[2]/div/div/div[2]/div/textarea')操作
2025-06-26 10:16:34,847 INFO [root] [base.py (base_find_element:27] - 查找元素('xpath', '/html/body/div[2]/div[2]/div/div[2]/div/div[1]/div[1]/div[2]/div/div[1]/div[2]/div/div/div[2]/div/textarea')
2025-06-26 10:16:34,986 INFO [root] [base.py (base_input:74] - ('xpath', '/html/body/div[2]/div[2]/div/div[2]/div/div[1]/div[1]/div[2]/div/div[1]/div[2]/div/div/div[2]/div/textarea')输入
2025-06-26 10:16:35,993 INFO [root] [base.py (base_find_element:27] - 查找元素('xpath', "//textarea[@data-placeholder='添加随记、交通或旅游心得']")
2025-06-26 10:16:36,026 INFO [root] [base.py (base_click:46] - 点击('xpath', "//textarea[@data-placeholder='添加随记、交通或旅游心得']")操作
2025-06-26 10:16:36,026 INFO [root] [base.py (base_find_element:27] - 查找元素('xpath', "//textarea[@data-placeholder='添加随记、交通或旅游心得']")
2025-06-26 10:16:36,169 INFO [root] [base.py (base_input:74] - ('xpath', "//textarea[@data-placeholder='添加随记、交通或旅游心得']")输入
2025-06-26 10:16:37,181 INFO [root] [base.py (base_find_element:27] - 查找元素('xpath', "//a[@class='finish_note_btn js_finish_note' and @data-beacon='Submit_bottom']")
